jurisdiction,similarity,class_a,label_a,definition_a,class_b,label_b,definition_b,parent,recommendation,approve_merge
gro-au,0.8618,gro-au:GoodsAndServices,Goods and Services,"Goods and services that must not be included in tuition fees, such as course materials and professional equipment.",gro-au:GoodsAndServicesTable,Goods and Services Table,"A list of goods and services that cannot be included in the tuition fee, as specified in the regulatory provision.",cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-au,0.8607,gro-au:WithdrawalDeferralProcess,Withdrawal and Deferral Process,Processes established by an approved course provider to manage student withdrawal from or deferral of their course.,gro-au:WithdrawalProcedure,Withdrawal Procedure,A procedure for a student to withdraw from an approved course or part thereof.,cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-au,0.8606,gro-au:VETStudentLoansProgram,VET Student Loans Program,"The VET Student Loans (VSL) program, designed to support eligible students to access higher level vocational education and training and provide integrity and balance provider risk against performance outcomes to promote delivery, and access to, quality and affordable training for students.",gro-au:VSLFunding,VSL Funding,A type of financial resource representing VET Student Loans (VSL) funding allocated to eligible students.,cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-au,0.8606,gro-au:Fees,Fees,Tuition fees charged by an approved course provider for an approved course.,gro-au:TuitionFeeList,Tuition Fee List,"A list of tuition fees charged for each approved course, including fees for each part of the course.",cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-au,0.8582,gro-au:VETStudentLoanCap,VET Student Loan Cap,"A maximum loan amount (loan cap) for a VET Student Loans approved course, indexed annually.",gro-au:IncreasedLoanCap,Increased Loan Cap,A funding resource representing the increased loan cap applied to VET Student Loans for eligible students.,cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-au,0.858,gro-au:CourseCompletionData,Course Completion Data,Unit of study and course completion data required to be submitted by approved course providers.,gro-au:CourseData,Course Data,"Information on approved courses, including unit of study outcomes and course outcomes submissions detailing students' completion, withdrawal or deferments of courses and parts of courses.",cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-au,0.857,gro-au:Fees,Fees,Tuition fees charged by an approved course provider for an approved course.,gro-au:TuitionFeeAmount,Tuition Fee Amount,The amount of tuition fees charged to students by a provider during a reporting period.,cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-au,0.851,gro-au:FeePeriod,Fee Period,"A designated period within an approved course for which tuition fees are charged, ensuring even debt accrual for students.",gro-au:TuitionFeeAmount,Tuition Fee Amount,The amount of tuition fees charged to students by a provider during a reporting period.,cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-au,0.8501,gro-au:FeePeriod,Fee Period,"A designated period within an approved course for which tuition fees are charged, ensuring even debt accrual for students.",gro-au:FeePeriodLength,Fee Period Length,"The duration of a fee period associated with a course, which may be subject to change.",cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-ca,0.9449,gro-ca:BCStudentLoanFunding,B.C. Student Loan Funding,Funding provided under the British Columbia Student Loan program.,gro-ca:BCStudentLoan,B.C. Student Loan,A loan provided under the British Columbia Student Loan Program.,cco:Resource,STRONG MERGE (high confidence),YES
gro-ca,0.9414,gro-ca:CanadaStudentLoanFunding,Canada Student Loan Funding,Funding provided under the Canada Student Loan program.,gro-ca:CanadaStudentLoan,Canada Student Loan,A loan provided under the Canada Student Loans Program.,cco:Resource,STRONG MERGE (high confidence),YES
gro-ca,0.9348,gro-ca:PartTimeCanadaStudentLoan,Part-time Canada Student Loan,A loan available to part-time students in Canada to support their studies.,gro-ca:CanadaStudentLoansProgramPartTime,Canada Student Loans Program for Part-Time Students,"The Canada Student Loans Program for Part-Time Students, a financial aid program for part-time post-secondary students in Canada.",cco:Resource,STRONG MERGE (high confidence),YES
gro-ca,0.9246,gro-ca:CanadaStudentGrantPartTimeStudies,Canada Student Grant for Part-Time Studies,A financial grant available to part-time students in Canada to support their studies.,gro-ca:PartTimeCanadaStudentLoan,Part-time Canada Student Loan,A loan available to part-time students in Canada to support their studies.,cco:Resource,STRONG MERGE (high confidence),YES
gro-ca,0.9219,gro-ca:StudentAidBCApplicationForm,StudentAid BC Application Form,The online application form used to apply for StudentAid BC financial assistance.,gro-ca:StudentAidBCApplication,StudentAid BC Application,The application form used by students in British Columbia to apply for student financial assistance.,cco:Resource,STRONG MERGE (high confidence),YES
gro-ca,0.9132,gro-ca:CanadaStudentGrantPartTimeStudies,Canada Student Grant for Part-Time Studies,A financial grant available to part-time students in Canada to support their studies.,gro-ca:CanadaStudentGrantPartTimeDependants,Canada Student Grant for Part-Time Students with Dependants,A financial grant available to part-time students in Canada who have dependants.,cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-ca,0.9092,gro-ca:DesignationStatus,Designation Status,The designation status of an institution under StudentAid BC.,gro-ca:StudentAidBCDesignation,StudentAid BC Designation,The designation status granted to institutions under the StudentAid BC program.,cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-ca,0.9046,gro-ca:CanadaStudentLoan,Canada Student Loan,A loan provided under the Canada Student Loans Program.,gro-ca:BCStudentLoan,B.C. Student Loan,A loan provided under the British Columbia Student Loan Program.,cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-ca,0.9033,gro-ca:Funding,Funding,Financial resources allocated to support a student's educational expenses.,gro-ca:LoanFunding,Loan Funding,Financial resources provided as a loan to a student.,cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-ca,0.9015,gro-ca:EligibilitySigningOfficer,Eligibility Signing Officer,"A role designated to institution officials responsible for confirming student enrolment and attendance, completing the Confirmation of Enrolment, accepting and documenting tuition payments, reporting changes to a student’s scholastic standing, and reporting changes to course load.",gro-ca:EnrolmentSigningOfficer,Enrolment Signing Officer,A role responsible for confirming enrolment or attendance.,cco:Role,LIKELY MERGE (review labels/definitions),YES
gro-ca,0.9006,gro-ca:Institution,Institution,An educational institution that offers programs eligible for student financial assistance.,gro-ca:EducationalInstitution,Educational Institution,An institution providing educational programs to students.,cco:Organisation,LIKELY MERGE (review labels/definitions),YES
gro-ca,0.8998,gro-ca:StudentAidBCFunding,StudentAid BC Funding,Financial assistance provided by StudentAid BC to supplement other available resources for post-secondary study costs.,gro-ca:StudentAidBCFinancialAssistance,StudentAid BC Financial Assistance,Financial assistance provided under the StudentAid BC program.,cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-ca,0.8991,gro-ca:APSD,APSD Funding,The Assistance Program for Students with Disabilities (APSD) helps students with disabilities cover the costs of exceptional education-related services and equipment.,gro-ca:APSDProgramFunding,APSD Program Funding,Funding provided under the Accessibility Program for Students with Disabilities (APSD) for assistive services and equipment.,cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-ca,0.8989,gro-ca:ParentalExpectedContribution,Parental Expected Contribution,"The expected financial contribution from parents, step-parents, sponsors, or legal guardians of single dependent students toward the student's education, calculated based on assessed financial ability.",gro-ca:ExpectedContribution,Expected Contribution,"A financial contribution from a student, parent, step-parent, sponsor, legal guardian or spouse to assist with the cost of the student’s program of study. The contribution is automatically assessed during the student need assessment process.",cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-ca,0.8976,gro-ca:PartTimeLoan,Part-Time Loan,A financial resource representing a loan issued to a student enrolled in part-time studies.,gro-ca:PartTimeLoanOrGrantFunding,Part-Time Loan or Grant Funding,Financial resources provided as part-time loans or grants to eligible students.,cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-ca,0.895,gro-ca:AssessedFinancialNeed,Assessed Financial Need,"The assessed financial need of a student, calculated as allowable costs minus contributions minus resources, which determines the amount of Canada-B.C. integrated student loan and grant funding a student is eligible to receive.",gro-ca:AssessedNeed,Assessed Need,Assessed need is used to determine the amount of federal and provincial student financial assistance that a student is eligible to receive from StudentAid BC.,cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-ca,0.8927,gro-ca:CanadaStudentLoanFunding,Canada Student Loan Funding,Funding provided under the Canada Student Loan program.,gro-ca:StudentLoanGrantFunding,Student Loan and Grant Funding,Financial resources comprising student loans and grants allocated under the Canada Student Financial Assistance Program.,cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-ca,0.8918,gro-ca:PartTimeStudentFunding,Part-Time Student Funding,Financial assistance funding available to part-time students under the Canada Student Financial Assistance Program.,gro-ca:CanadaStudentGrantPartTimeStudies,Canada Student Grant for Part-Time Studies,A financial grant available to part-time students in Canada to support their studies.,cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-ca,0.8917,gro-ca:CanadaStudentLoanFunding,Canada Student Loan Funding,Funding provided under the Canada Student Loan program.,gro-ca:BCStudentLoanFunding,B.C. Student Loan Funding,Funding provided under the British Columbia Student Loan program.,cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-ca,0.8915,gro-ca:CanadaStudentGrant,Canada Student Grant,A grant applied to the Government of Canada portion of a student's assessed need.,gro-ca:CanadaStudentGrantFunding,Canada Student Grant Funding,"Funding provided under the Canada Student Grant program, allocated towards federal and provincial assessed need.",cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-ca,0.891,gro-ca:CanadaStudentGrantPartTimeStudies,Canada Student Grant for Part-Time Studies,A financial grant available to part-time students in Canada to support their studies.,gro-ca:CanadaStudentLoansProgramPartTime,Canada Student Loans Program for Part-Time Students,"The Canada Student Loans Program for Part-Time Students, a financial aid program for part-time post-secondary students in Canada.",cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-ca,0.89,gro-ca:MandatoryFees,Mandatory Fees,"Mandatory fees are costs associated with attending a post-secondary institution, or enrolment in certain programs (such as registration fee, student license, student association or Alma Mater Society fees, membership fees for overseeing bodies) and are required to be paid by all students in the institution/program. License exam fees (whether included in tuition or not) can be included in tuition if the license exam is mandatory and it is completed within the study period. Optional fees, fees that do not apply to all students and fees already included in the moderate standard of living allowance are not to be included.",gro-ca:CompulsoryFees,Compulsory Fees,"Compulsory fees include annual admission fees required when submitting applications, student council fees, student services fees, field trip costs (excluding transportation cost as outlined in Chapter 2, Section 3), examination fees, graduate thesis costs and other amounts payable by the student to the educational institution that are obligatory in connection with their course of study. They may include fees payable for membership in professional or other societies where required.",cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-ca,0.8899,gro-ca:CanadaStudentGrant,Canada Student Grant,A grant applied to the Government of Canada portion of a student's assessed need.,gro-ca:GovernmentOfCanadaPortion,Government of Canada Portion,The portion of a student's assessed need funded by the Government of Canada.,cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-ca,0.8877,gro-ca:CanadaStudentGrantFunding,Canada Student Grant Funding,"Funding provided under the Canada Student Grant program, allocated towards federal and provincial assessed need.",gro-ca:CanadaStudentLoanFunding,Canada Student Loan Funding,Funding provided under the Canada Student Loan program.,cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-ca,0.8876,gro-ca:CanadaStudentGrantFunding,Canada Student Grant Funding,"Funding provided under the Canada Student Grant program, allocated towards federal and provincial assessed need.",gro-ca:StudentLoanGrantFunding,Student Loan and Grant Funding,Financial resources comprising student loans and grants allocated under the Canada Student Financial Assistance Program.,cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-ca,0.8872,gro-ca:Student,Student,"A role held by an individual enrolled in a post-secondary educational program, eligible for student financial assistance.",gro-ca:PostSecondaryStudent,Post-Secondary Student,A role held by an individual enrolled in post-secondary studies.,cco:Role,LIKELY MERGE (review labels/definitions),YES
gro-ca,0.8867,gro-ca:StudentFinancialAssistanceAward,Student Financial Assistance Award,A monetary award provided to eligible students under federal or provincial student financial assistance programs.,gro-ca:StudentAward,Student Award,"A financial award composed of loans, grants, and bursaries allocated to a student based on assessed federal and provincial needs.",cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-ca,0.884,gro-ca:ReimbursementAssessmentCosts,Reimbursement of Assessment Costs,Reimbursement of assessment costs associated with each disability for applicants verified for multiple disabilities.,gro-ca:DisabilityAssessmentReimbursement,Disability Assessment Reimbursement,A reimbursement issued for disability assessment costs.,cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-ca,0.8819,gro-ca:PartTimeStudentFunding,Part-Time Student Funding,Financial assistance funding available to part-time students under the Canada Student Financial Assistance Program.,gro-ca:PartTimeCanadaStudentLoan,Part-time Canada Student Loan,A loan available to part-time students in Canada to support their studies.,cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-ca,0.8816,gro-ca:FinancialAssistance,Financial Assistance,"Financial assistance determined through the StudentAid BC application process, considering allowable costs and resources.",gro-ca:StudentAidBCFinancialAssistance,StudentAid BC Financial Assistance,Financial assistance provided under the StudentAid BC program.,cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-ca,0.8816,gro-ca:BCAGFTWeeklyGrantAmount,BCAG-FT Weekly Grant Amount,"The weekly grant amount a student is eligible for under the BCAG-FT program, calculated based on student characteristics and income.",gro-ca:BCAGFTAward,BCAG-FT Award,"The total BCAG-FT award amount, calculated by multiplying the weekly grant amount by the number of weeks in the study period.",cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-ca,0.8812,gro-ca:NSLSC,National Student Loans Service Centre,"The National Student Loans Service Centre (NSLSC), responsible for administering and disbursing Canada Student Loans and Grants.",gro-ca:NationalStudentLoansServiceCentre,National Student Loans Service Centre,The National Student Loans Service Centre (NSLSC) through which borrowers must repay their Canada-B.C. integrated student loans.,cco:Organisation,LIKELY MERGE (review labels/definitions),YES
gro-ca,0.8781,gro-ca:CanadaStudentFinancialAssistanceProgram,Canada Student Financial Assistance Program,The federal program under the Canada Student Financial Assistance Act and Regulations that provides loans and grants to eligible students.,gro-ca:StudentLoanGrantFunding,Student Loan and Grant Funding,Financial resources comprising student loans and grants allocated under the Canada Student Financial Assistance Program.,cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-ca,0.8768,gro-ca:PartTimeStudentFunding,Part-Time Student Funding,Financial assistance funding available to part-time students under the Canada Student Financial Assistance Program.,gro-ca:CanadaStudentLoansProgramPartTime,Canada Student Loans Program for Part-Time Students,"The Canada Student Loans Program for Part-Time Students, a financial aid program for part-time post-secondary students in Canada.",cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-ca,0.8757,gro-ca:FinancialAssistanceInformation,Financial Assistance Information,Information used in providing financial assistance and counselling to students.,gro-ca:StudentFinancialAssistanceInformation,Student Financial Assistance Information,"Information pertaining to the student financial assistance application, related documents, and repayment of loans.",cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-ca,0.8749,gro-ca:StudentFundingRecipient,Student Funding Recipient,A student who obtains funding for assistive services or reimbursement for previously purchased assistive services,gro-ca:StudentFinancialAssistanceRecipient,Student Financial Assistance Recipient,"A role representing the recipient of student financial assistance, including loans, grants, and bursaries.",cco:Role,REVIEW CAREFULLY (low confidence),YES
gro-ca,0.8741,gro-ca:StudentRole,Student Role,"The role of an individual enrolled in an educational program, eligible to request funding and loan rehabilitation application reviews.",gro-ca:Student,Student,"A role held by an individual enrolled in a post-secondary educational program, eligible for student financial assistance.",cco:Role,REVIEW CAREFULLY (low confidence),YES
gro-ca,0.8735,gro-ca:FinancialAssistanceDocument,Financial Assistance Document,Documents required for student financial assistance.,gro-ca:StudentFinancialAssistanceInformation,Student Financial Assistance Information,"Information pertaining to the student financial assistance application, related documents, and repayment of loans.",cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-ca,0.8728,gro-ca:StandardLivingCostAllowance,Standard Living Cost Allowance,"Standard allowances for living costs established annually by the federal government for each category of student, used in federal and provincial financial need assessments.",gro-ca:StudentLivingAllowance,Student Living Allowance,"Student living allowances are standard allowances established by the Government of Canada to cover the costs of shelter, food, local transportation and miscellaneous expenses and used by StudentAid BC to assess financial need for full-time students.",cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-ca,0.8726,gro-ca:RAPStage2EligibleBorrower,RAP Stage 2 Eligible Borrower,"A borrower who has been on RAP Stage 1 for at least 60 months or in repayment for at least 10 years, and is eligible for RAP Stage 2.",gro-ca:RAPStage2RestrictedBorrower,RAP Stage 2 Restricted Borrower,A borrower who has received at least one month of RAP Stage 2 and is subject to the RAP Stage 2 restriction.,cco:Role,REVIEW CAREFULLY (low confidence),YES
gro-ca,0.8726,gro-ca:EligiblePartTimeStudentRole,Eligible Part-Time Student Role,The role of an eligible part-time student who is attending part-time studies in eligible full-time programs and may receive student financial assistance.,gro-ca:PartTimeStudentRole,Part-Time Student Role,The role held by a student who is enrolled in part-time classes and has received a part-time loan.,cco:Role,REVIEW CAREFULLY (low confidence),YES
gro-ca,0.8719,gro-ca:StudentAidBCFinancialAssistance,StudentAid BC Financial Assistance,Financial assistance provided under the StudentAid BC program.,gro-ca:StudentAidBCApplicationForm,StudentAid BC Application Form,The online application form used to apply for StudentAid BC financial assistance.,cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-ca,0.8715,gro-ca:CanadaStudentLoan,Canada Student Loan,A loan provided under the Canada Student Loans Program.,gro-ca:PartTimeCanadaStudentLoan,Part-time Canada Student Loan,A loan available to part-time students in Canada to support their studies.,cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-ca,0.8705,gro-ca:CanadaStudentGrant,Canada Student Grant,A grant applied to the Government of Canada portion of a student's assessed need.,gro-ca:CanadaStudentGrantPartTimeStudies,Canada Student Grant for Part-Time Studies,A financial grant available to part-time students in Canada to support their studies.,cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-ca,0.8696,gro-ca:CanadaStudentFinancialAssistanceProgram,Canada Student Financial Assistance Program,The federal program under the Canada Student Financial Assistance Act and Regulations that provides loans and grants to eligible students.,gro-ca:CanadaStudentLoan,Canada Student Loan,A loan provided under the Canada Student Loans Program.,cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-ca,0.869,gro-ca:DependentStudentRole,Dependent Student Role,A role held by dependent students who must leave their home community to attend post-secondary studies,gro-ca:StudentWithDependentsRole,Student with Dependents Role,"A role held by a student who has dependents, qualifying them for additional funding considerations.",cco:Role,REVIEW CAREFULLY (low confidence),YES
