Sample_ID,Chunk_ID,Provision_Type,Jurisdiction,Source_Text,Extracted_RDF,Q1_Subject_Faithful,Q2_Predicate_Faithful,Q3_Object_Faithful,Q4_Overall_Faithful
011,USA-UNIT-00043,Definition,US,"<Contributor= refers to anyone who is required to provide information, consent, and approval, and a signature on the FAFSA form. The FAFSA form is organized by contributor. Each contributor will complete their own section of the form which contains specific questions and instructions pertaining to that contributor. The guidance in this chapter supplements those instructions and explains why some of the questions are needed on the FAFSA form. The following sections discuss the questions found within each contributor section on the FAFSA form. The parents mentioned are the legal parents of dependent students. The numbers in parentheses are for the items as they appear on the FAFSA Submission Summary, ISIR, paper (PDF) FAFSA, and FAFSA Partner Portal. The FAFSA form is considered a <snapshot= of the family's information as of the date the application is signed and it can be updated only in certain circumstances and only for certain items. See Chapter 4 for more information about updating a FAFSA form.","@prefix cco:    <https://www.w3id.org/cco/cco#> .
@prefix gro:    <https://w3id.org/cco-gro/onto#> .
@prefix gro-us: <https://w3id.org/cco-gro/onto/us#> .
@prefix data:   <https://w3id.org/cco-gro/data#> .
@prefix prov:   <http://www.w3.org/ns/prov#> .
@prefix rdf:    <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs:   <http://www.w3.org/2000/01/rdf-schema#> .
@prefix owl:    <http://www.w3.org/2002/07/owl#> .
@prefix skos:   <http://www.w3.org/2004/02/skos/core#> .
@prefix xsd:    <http://www.w3.org/2001/XMLSchema#> .

data:USA_UNIT_00043 a prov:Entity ;
    rdfs:label ""Source: USA-UNIT-00043"" .

gro-us:Contributor a owl:Class ;
    rdfs:subClassOf cco:Role ;
    rdfs:label ""Contributor"" ;
    skos:definition ""Contributor refers to anyone who is required to provide information, consent, and approval, and a signature on the FAFSA form."" ;
    prov:wasDerivedFrom data:USA_UNIT_00043 .",Y,Y,Y,Y
012,AUS-UNIT-00020,EligibilityRule,AU,"• have a record of satisfactory conduct in relation to the provision of previous vocational education and training for which the Commonwealth, a state or territory provided funding. To apply to be an approved provider, you must:","@prefix cco:    <https://www.w3id.org/cco/cco#> .
@prefix gro:    <https://w3id.org/cco-gro/onto#> .
@prefix gro-au: <https://w3id.org/cco-gro/onto/au#> .
@prefix data:   <https://w3id.org/cco-gro/data#> .
@prefix prov:   <http://www.w3.org/ns/prov#> .
@prefix rdf:    <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs:   <http://www.w3.org/2000/01/rdf-schema#> .
@prefix owl:    <http://www.w3.org/2002/07/owl#> .
@prefix skos:   <http://www.w3.org/2004/02/skos/core#> .
@prefix xsd:    <http://www.w3.org/2001/XMLSchema#> .

data:AUS_UNIT_00020 a prov:Entity ;
    rdfs:label ""Source: AUS-UNIT-00020"" .

gro-au:ApprovedCourseProvider a owl:Class ;
    rdfs:subClassOf cco:Role ;
    rdfs:label ""Approved Course Provider"" ;
    skos:definition ""A role held by an entity that is approved to provide vocational education and training courses."" .

gro-au:PreviousGovernmentFundedVET a owl:Class ;
    rdfs:subClassOf cco:Resource ;
    rdfs:label ""Previous Government-Funded VET"" ;
    skos:definition ""Previous vocational education and training for which the Commonwealth, a state or territory provided funding."" .

data:AUS_UNIT_00020_subject_2bd36e a gro-au:ApprovedCourseProvider ;
    rdfs:label ""Approved Course Provider"" ;
    skos:altLabel ""you"" ;
    prov:wasDerivedFrom data:AUS_UNIT_00020 .

data:AUS_UNIT_00020_action_92b61d a cco:Action ;
    rdfs:label ""Record of Satisfactory Conduct"" ;
    cco:hasActionExpression ""have a record of satisfactory conduct in relation to the provision of previous vocational education and training for which the Commonwealth, a state or territory provided funding"" ;
    prov:wasDerivedFrom data:AUS_UNIT_00020 .

data:AUS_UNIT_00020_object_7bc382 a gro-au:PreviousGovernmentFundedVET ;
    rdfs:label ""Previous Government-Funded VET"" ;
    prov:wasDerivedFrom data:AUS_UNIT_00020 .

data:AUS_UNIT_00020_condition_010be3 a cco:Condition ;
    rdfs:label ""Application for Approved Provider"" ;
    cco:hasConditionExpression ""To apply to be an approved provider"" ;
    prov:wasDerivedFrom data:AUS_UNIT_00020 .

data:AUS_UNIT_00020_norm_d581ba a cco:Obligation ;
    rdfs:label ""Satisfactory Conduct Record Obligation"" ;
    cco:appliesToRole data:AUS_UNIT_00020_subject_2bd36e ;
    cco:hasAction data:AUS_UNIT_00020_action_92b61d ;
    cco:hasObject data:AUS_UNIT_00020_object_7bc382 ;
    cco:appliesUnder data:AUS_UNIT_00020_condition_010be3 ;
    prov:wasDerivedFrom data:AUS_UNIT_00020 .",Y,Y,Y,Y
013,CAN-UNIT-00081,EligibilityRule,CA,"• Only registered with one of the institutions, • Paying all required fees to the institution, and • Receive their formal credential from that same institution All the participating institutions must have an agreement and be StudentAid BC designated. Programs of study that are brokered (the institution provides a formal credential while another agency or institution provides the actual program of study) are not eligible for StudentAid BC funding.","@prefix cco:    <https://www.w3id.org/cco/cco#> .
@prefix gro:    <https://w3id.org/cco-gro/onto#> .
@prefix gro-ca: <https://w3id.org/cco-gro/onto/ca#> .
@prefix data:   <https://w3id.org/cco-gro/data#> .
@prefix prov:   <http://www.w3.org/ns/prov#> .
@prefix rdf:    <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs:   <http://www.w3.org/2000/01/rdf-schema#> .
@prefix owl:    <http://www.w3.org/2002/07/owl#> .
@prefix skos:   <http://www.w3.org/2004/02/skos/core#> .
@prefix xsd:    <http://www.w3.org/2001/XMLSchema#> .

gro-ca:BrokeredProgramOfStudy a owl:Class ;
    rdfs:subClassOf cco:Resource ;
    rdfs:label ""Brokered Program of Study"" ;
    skos:definition ""A program of study where the institution provides a formal credential while another agency or institution provides the actual program of study."" .

gro-ca:StudentAidBCFunding a owl:Class ;
    rdfs:subClassOf cco:Resource ;
    rdfs:label ""StudentAid BC Funding"" ;
    skos:definition ""Financial funding provided by StudentAid BC for eligible programs of study."" .

data:CAN_UNIT_00081 a prov:Entity ;
    rdfs:label ""Source: CAN-UNIT-00081"" .

data:CAN_UNIT_00081_norm_1b9353 a cco:Prohibition ;
    rdfs:label ""Brokered Program Funding Prohibition"" ;
    cco:hasAction data:CAN_UNIT_00081_action_219832 ;
    cco:hasObject data:CAN_UNIT_00081_object_736b42 ;
    cco:appliesUnder data:CAN_UNIT_00081_condition_876880 ;
    prov:wasDerivedFrom data:CAN_UNIT_00081 .

data:CAN_UNIT_00081_subject_0566cf a gro-ca:BrokeredProgramOfStudy ;
    rdfs:label ""Brokered Program of Study"" ;
    skos:definition ""Programs of study that are brokered (the institution provides a formal credential while another agency or institution provides the actual program of study)."" ;
    skos:altLabel ""Programs of study that are brokered"" ;
    prov:wasDerivedFrom data:CAN_UNIT_00081 .

data:CAN_UNIT_00081_action_219832 a cco:Action ;
    rdfs:label ""Funding Ineligibility"" ;
    cco:hasActionExpression ""are not eligible for StudentAid BC funding"" ;
    prov:wasDerivedFrom data:CAN_UNIT_00081 .

data:CAN_UNIT_00081_object_736b42 a gro-ca:StudentAidBCFunding ;
    rdfs:label ""StudentAid BC Funding"" ;
    skos:definition ""StudentAid BC funding for programs of study."" ;
    prov:wasDerivedFrom data:CAN_UNIT_00081 .

data:CAN_UNIT_00081_condition_876880 a cco:Condition ;
    rdfs:label ""Brokered Program Condition"" ;
    cco:hasConditionExpression ""the institution provides a formal credential while another agency or institution provides the actual program of study"" ;
    prov:wasDerivedFrom data:CAN_UNIT_00081 .

data:CAN_UNIT_00081_authority_f8ea07 a cco:RegulatoryAuthorityAgent ;
    rdfs:label ""StudentAid BC"" ;
    skos:definition ""StudentAid BC, the regulatory authority for student financial assistance in British Columbia, Canada."" ;
    prov:wasDerivedFrom data:CAN_UNIT_00081 .",P,N,Y,N
014,CAN-UNIT-00155,EligibilityRule,CA,• Has completed an undergraduate degree and is enrolled in the unclassified studies or qualifying year to satisfy prerequisite requirements for a specific graduate program; or • Cannot enter into an undergraduate major without first completing courses necessary to meet the entrance requirements for the undergraduate major. The post-secondary institution where the student is enrolled in unclassified studies or a qualifying year must identify the program on their Institutional Appendix.,"@prefix cco:    <https://www.w3id.org/cco/cco#> .
@prefix gro:    <https://w3id.org/cco-gro/onto#> .
@prefix gro-ca: <https://w3id.org/cco-gro/onto/ca#> .
@prefix data:   <https://w3id.org/cco-gro/data#> .
@prefix prov:   <http://www.w3.org/ns/prov#> .
@prefix rdf:    <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs:   <http://www.w3.org/2000/01/rdf-schema#> .
@prefix owl:    <http://www.w3.org/2002/07/owl#> .
@prefix skos:   <http://www.w3.org/2004/02/skos/core#> .
@prefix xsd:    <http://www.w3.org/2001/XMLSchema#> .

gro-ca:StudentFinancialAssistance a owl:Class ;
    rdfs:subClassOf cco:Resource ;
    rdfs:label ""Student Financial Assistance"" ;
    skos:definition ""Financial assistance provided to eligible students under Canadian regulations."" .

data:CAN_UNIT_00155 a prov:Entity ;
    rdfs:label ""Source: CAN-UNIT-00155"" .

data:CAN_UNIT_00155_norm_021031 a cco:Permission ;
    rdfs:label ""Student Financial Assistance Eligibility"" ;
    cco:appliesToRole data:CAN_UNIT_00155_subject_6142e7 ;
    cco:hasAction data:CAN_UNIT_00155_action_c09c4c ;
    cco:hasObject data:CAN_UNIT_00155_object_c66a86 ;
    cco:appliesUnder data:CAN_UNIT_00155_condition_99fa39 ;
    prov:wasDerivedFrom data:CAN_UNIT_00155 .

data:CAN_UNIT_00155_subject_6142e7 a cco:Role ;
    rdfs:label ""Student"" ;
    skos:definition ""A student who may be eligible for financial assistance."" ;
    prov:wasDerivedFrom data:CAN_UNIT_00155 .

data:CAN_UNIT_00155_action_c09c4c a cco:Action ;
    rdfs:label ""Enrollment in Unclassified Studies"" ;
    cco:hasActionExpression ""is enrolled in unclassified studies or a qualifying year to satisfy prerequisite requirements"" ;
    prov:wasDerivedFrom data:CAN_UNIT_00155 .

data:CAN_UNIT_00155_object_c66a86 a gro-ca:StudentFinancialAssistance ;
    rdfs:label ""Student Financial Assistance"" ;
    skos:definition ""Financial assistance for which the student may be eligible."" ;
    prov:wasDerivedFrom data:CAN_UNIT_00155 .

data:CAN_UNIT_00155_condition_99fa39 a cco:Condition ;
    rdfs:label ""Eligibility Criteria"" ;
    cco:hasConditionExpression ""Has completed an undergraduate degree and is enrolled in the unclassified studies or qualifying year to satisfy prerequisite requirements for a specific graduate program; or Cannot enter into an undergraduate major without first completing courses necessary to meet the entrance requirements for the undergraduate major. The post-secondary institution where the student is enrolled in unclassified studies or a qualifying year must identify the program on their Institutional Appendix."" ;
    prov:wasDerivedFrom data:CAN_UNIT_00155 .",Y,P,P,P
015,CAN-UNIT-00160,EligibilityRule,CA,"Course load averaging Students are permitted to ‘average’ the course load to equal 60% (or 40% for students with a permanent, or persistent or prolonged disability), provided the study period is no longer than four months. Appeals may be considered for exceptional circumstances. For more information, please refer to","@prefix cco:    <https://www.w3id.org/cco/cco#> .
@prefix gro:    <https://w3id.org/cco-gro/onto#> .
@prefix gro-ca: <https://w3id.org/cco-gro/onto/ca#> .
@prefix data:   <https://w3id.org/cco-gro/data#> .
@prefix prov:   <http://www.w3.org/ns/prov#> .
@prefix rdf:    <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs:   <http://www.w3.org/2000/01/rdf-schema#> .
@prefix owl:    <http://www.w3.org/2002/07/owl#> .
@prefix skos:   <http://www.w3.org/2004/02/skos/core#> .
@prefix xsd:    <http://www.w3.org/2001/XMLSchema#> .

data:CAN_UNIT_00160 a prov:Entity ;
    rdfs:label ""Source: CAN-UNIT-00160"" .

gro-ca:Student a owl:Class ;
    rdfs:subClassOf cco:Role ;
    rdfs:label ""Student"" ;
    skos:definition ""A person enrolled in an educational program."" .

gro-ca:CourseLoad a owl:Class ;
    rdfs:subClassOf cco:Resource ;
    rdfs:label ""Course Load"" ;
    skos:definition ""The set of courses or credits a student is enrolled in during a study period."" .

data:CAN_UNIT_00160_subject_3e6ab6 a gro-ca:Student ;
    rdfs:label ""Student"" ;
    skos:definition ""A student subject to course load averaging rules."" ;
    prov:wasDerivedFrom data:CAN_UNIT_00160 .

data:CAN_UNIT_00160_object_5bb183 a gro-ca:CourseLoad ;
    rdfs:label ""Course Load"" ;
    skos:definition ""The course load that may be averaged under this provision."" ;
    prov:wasDerivedFrom data:CAN_UNIT_00160 .

data:CAN_UNIT_00160_action_cf4d7b a cco:Action ;
    rdfs:label ""Course Load Averaging"" ;
    cco:hasActionExpression ""average the course load to equal 60% (or 40% for students with a permanent, or persistent or prolonged disability)"" ;
    prov:wasDerivedFrom data:CAN_UNIT_00160 .

data:CAN_UNIT_00160_condition_3938a8 a cco:Condition ;
    rdfs:label ""Study Period Duration Condition"" ;
    cco:hasConditionExpression ""the study period is no longer than four months"" ;
    prov:wasDerivedFrom data:CAN_UNIT_00160 .

data:CAN_UNIT_00160_norm_66a568 a cco:Permission ;
    rdfs:label ""Course Load Averaging Permission"" ;
    cco:appliesToRole data:CAN_UNIT_00160_subject_3e6ab6 ;
    cco:hasAction data:CAN_UNIT_00160_action_cf4d7b ;
    cco:hasObject data:CAN_UNIT_00160_object_5bb183 ;
    cco:appliesUnder data:CAN_UNIT_00160_condition_3938a8 ;
    prov:wasDerivedFrom data:CAN_UNIT_00160 .",Y,P,Y,P
016,CAN-UNIT-00439,EligibilityRule,CA,"federally and provincially assessed resources are subtracted from the assessed costs, resulting in a federal calculated need and a provincial calculated need. If both the federal and provincial assessed need calculations are negative, the student is considered to have sufficient resources to finance their education and does not qualify for either federal or provincial student financial assistance. If either the federal or provincial assessed need calculation is positive the student is considered eligible to receive a student financial assistance award up to this calculated need, subject to annual limits and allocation rules. Before calculating the award, outstanding overawards will be taken into consideration and may be deducted from the student’s new entitlement. For award configuration, please see Chapter 8.","@prefix cco:    <https://www.w3id.org/cco/cco#> .
@prefix gro:    <https://w3id.org/cco-gro/onto#> .
@prefix gro-ca: <https://w3id.org/cco-gro/onto/ca#> .
@prefix data:   <https://w3id.org/cco-gro/data#> .
@prefix prov:   <http://www.w3.org/ns/prov#> .
@prefix rdf:    <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs:   <http://www.w3.org/2000/01/rdf-schema#> .
@prefix owl:    <http://www.w3.org/2002/07/owl#> .
@prefix skos:   <http://www.w3.org/2004/02/skos/core#> .
@prefix xsd:    <http://www.w3.org/2001/XMLSchema#> .

data:CAN_UNIT_00439 a prov:Entity ;
    rdfs:label ""Source: CAN-UNIT-00439"" .

gro-ca:StudentFinancialAssistanceAward a owl:Class ;
    rdfs:subClassOf cco:Resource ;
    rdfs:label ""Student Financial Assistance Award"" ;
    skos:definition ""A monetary award provided to eligible students under federal or provincial student financial assistance programs."" .

gro-ca:StudentRole a owl:Class ;
    rdfs:subClassOf cco:Role ;
    rdfs:label ""Student Role"" ;
    skos:definition ""The role of an individual enrolled in an educational program who may be eligible for financial assistance."" .

data:CAN_UNIT_00439_subject_c9126b a gro-ca:StudentRole ;
    rdfs:label ""Student"" ;
    skos:definition ""The student who is the subject of the eligibility rule for student financial assistance."" ;
    skos:altLabel ""the student"" ;
    prov:wasDerivedFrom data:CAN_UNIT_00439 .

data:CAN_UNIT_00439_object_87e2aa a gro-ca:StudentFinancialAssistanceAward ;
    rdfs:label ""Student Financial Assistance Award"" ;
    skos:definition ""A student financial assistance award that a student may be eligible to receive."" ;
    prov:wasDerivedFrom data:CAN_UNIT_00439 .

data:CAN_UNIT_00439_action_e2750e a cco:Action ;
    rdfs:label ""Receive Award Eligibility"" ;
    cco:hasActionExpression ""is considered eligible to receive a student financial assistance award up to this calculated need"" ;
    prov:wasDerivedFrom data:CAN_UNIT_00439 .

data:CAN_UNIT_00439_condition_ccbce9 a cco:Condition ;
    rdfs:label ""Positive Assessed Need"" ;
    cco:hasConditionExpression ""If either the federal or provincial assessed need calculation is positive"" ;
    prov:wasDerivedFrom data:CAN_UNIT_00439 .

data:CAN_UNIT_00439_norm_c41302 a cco:Permission ;
    rdfs:label ""Positive Need Award Eligibility"" ;
    cco:appliesToRole data:CAN_UNIT_00439_subject_c9126b ;
    cco:hasAction data:CAN_UNIT_00439_action_e2750e ;
    cco:hasObject data:CAN_UNIT_00439_object_87e2aa ;
    cco:appliesUnder data:CAN_UNIT_00439_condition_ccbce9 ;
    prov:wasDerivedFrom data:CAN_UNIT_00439 .",Y,P,P,P
017,CAN-UNIT-00556,EligibilityRule,CA,"When a student has a change in circumstances that requires a reassessment of their original award, any student financial assistance already provided that exceeds the student’s reassessed eligibility for student financial assistance may be considered an overaward.","@prefix cco:    <https://www.w3id.org/cco/cco#> .
@prefix gro:    <https://w3id.org/cco-gro/onto#> .
@prefix gro-ca: <https://w3id.org/cco-gro/onto/ca#> .
@prefix data:   <https://w3id.org/cco-gro/data#> .
@prefix prov:   <http://www.w3.org/ns/prov#> .
@prefix rdf:    <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs:   <http://www.w3.org/2000/01/rdf-schema#> .
@prefix owl:    <http://www.w3.org/2002/07/owl#> .
@prefix skos:   <http://www.w3.org/2004/02/skos/core#> .
@prefix xsd:    <http://www.w3.org/2001/XMLSchema#> .

gro-ca:FinancialResource a owl:Class ;
    rdfs:subClassOf cco:Resource ;
    rdfs:label ""Financial Resource"" ;
    skos:definition ""A resource representing student financial assistance or other monetary allocations."" .

gro-ca:Overaward a owl:Class ;
    rdfs:subClassOf cco:Resource ;
    rdfs:label ""Overaward"" ;
    skos:definition ""Student financial assistance already provided that exceeds the student's reassessed eligibility."" .

data:CAN_UNIT_00556 a prov:Entity ;
    rdfs:label ""Source: CAN-UNIT-00556"" .

data:CAN_UNIT_00556_norm_9dece8 a cco:Permission ;
    rdfs:label ""Overaward Classification Permission"" ;
    cco:hasAction data:CAN_UNIT_00556_action_9efb73 ;
    cco:hasObject data:CAN_UNIT_00556_object_7f2b02 ;
    cco:appliesUnder data:CAN_UNIT_00556_condition_2e1a6e ;
    prov:wasDerivedFrom data:CAN_UNIT_00556 .

data:CAN_UNIT_00556_subject_bd4b13 a gro-ca:FinancialResource ;
    rdfs:label ""Excess Student Financial Assistance"" ;
    skos:definition ""Student financial assistance already provided that exceeds the student's reassessed eligibility."" ;
    skos:altLabel ""student financial assistance already provided that exceeds the student\u2019s reassessed eligibility"" ;
    prov:wasDerivedFrom data:CAN_UNIT_00556 .

data:CAN_UNIT_00556_action_9efb73 a cco:Action ;
    rdfs:label ""Consider as Overaward"" ;
    cco:hasActionExpression ""may be considered an overaward"" ;
    prov:wasDerivedFrom data:CAN_UNIT_00556 .

data:CAN_UNIT_00556_object_7f2b02 a gro-ca:Overaward ;
    rdfs:label ""Overaward"" ;
    skos:definition ""An amount of student financial assistance that exceeds reassessed eligibility and may be classified as an overaward."" ;
    prov:wasDerivedFrom data:CAN_UNIT_00556 .

data:CAN_UNIT_00556_condition_2e1a6e a cco:Condition ;
    rdfs:label ""Change in Circumstances Reassessment"" ;
    cco:hasConditionExpression ""When a student has a change in circumstances that requires a reassessment of their original award"" ;
    prov:wasDerivedFrom data:CAN_UNIT_00556 .",P,P,Y,P
018,UK-UNIT-00049,EligibilityRule,UK,"An apprentice’s eligibility for funding will not change during the apprenticeship unless their employment status also changes (e.g. they become unemployed). If an apprentice is made redundant, we may continue to fund their training, even if they cannot find another employer (see paragraphs 279 to 283).","@prefix cco:    <https://www.w3id.org/cco/cco#> .
@prefix gro:    <https://w3id.org/cco-gro/onto#> .
@prefix gro-uk: <https://w3id.org/cco-gro/onto/uk#> .
@prefix data:   <https://w3id.org/cco-gro/data#> .
@prefix prov:   <http://www.w3.org/ns/prov#> .
@prefix rdf:    <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs:   <http://www.w3.org/2000/01/rdf-schema#> .
@prefix owl:    <http://www.w3.org/2002/07/owl#> .
@prefix skos:   <http://www.w3.org/2004/02/skos/core#> .
@prefix xsd:    <http://www.w3.org/2001/XMLSchema#> .

data:UK_UNIT_00049 a prov:Entity ;
    rdfs:label ""Source: UK-UNIT-00049"" .

gro-uk:ApprenticeRole a owl:Class ;
    rdfs:subClassOf cco:Role ;
    rdfs:label ""Apprentice Role"" ;
    skos:definition ""The role of an individual undertaking an apprenticeship, involving training and employment."" .

gro-uk:FundingResource a owl:Class ;
    rdfs:subClassOf cco:Resource ;
    rdfs:label ""Funding Resource"" ;
    skos:definition ""Financial resources allocated to support training or education, such as apprenticeship funding."" .

gro-uk:EmploymentStatusCondition a owl:Class ;
    rdfs:subClassOf cco:Condition ;
    rdfs:label ""Employment Status Condition"" ;
    skos:definition ""A condition concerning the employment status of an individual, such as being employed or unemployed."" .

data:UK_UNIT_00049_subject_9bd362 a gro-uk:ApprenticeRole ;
    rdfs:label ""Apprentice"" ;
    skos:definition ""An individual undertaking an apprenticeship."" ;
    prov:wasDerivedFrom data:UK_UNIT_00049 .

data:UK_UNIT_00049_object_f0d5cf a gro-uk:FundingResource ;
    rdfs:label ""Apprenticeship Funding"" ;
    skos:definition ""Funding allocated to support an apprentice's training during their apprenticeship."" ;
    prov:wasDerivedFrom data:UK_UNIT_00049 .

data:UK_UNIT_00049_action_04c988 a cco:Action ;
    rdfs:label ""Funding Eligibility Stability"" ;
    cco:hasActionExpression ""An apprentice's eligibility for funding will not change during the apprenticeship unless their employment status also changes."" ;
    prov:wasDerivedFrom data:UK_UNIT_00049 .

data:UK_UNIT_00049_condition_c7c26b a gro-uk:EmploymentStatusCondition ;
    rdfs:label ""Employment Status Change Condition"" ;
    cco:hasConditionExpression ""unless their employment status also changes (e.g. they become unemployed)"" ;
    prov:wasDerivedFrom data:UK_UNIT_00049 .

data:UK_UNIT_00049_norm_7de019 a cco:Permission ;
    rdfs:label ""Apprentice Funding Eligibility Permission"" ;
    cco:appliesToRole data:UK_UNIT_00049_subject_9bd362 ;
    cco:hasAction data:UK_UNIT_00049_action_04c988 ;
    cco:hasObject data:UK_UNIT_00049_object_f0d5cf ;
    cco:appliesUnder data:UK_UNIT_00049_condition_c7c26b ;
    prov:wasDerivedFrom data:UK_UNIT_00049 .",Y,P,Y,P
019,UK-UNIT-00266,EligibilityRule,UK,"If the apprenticeship agreement is incomplete, or not signed, the individual will not have a valid agreement and the provider will therefore not be eligible to receive funding for them. The apprenticeship agreement must include:","@prefix cco:    <https://www.w3id.org/cco/cco#> .
@prefix gro:    <https://w3id.org/cco-gro/onto#> .
@prefix gro-uk: <https://w3id.org/cco-gro/onto/uk#> .
@prefix data:   <https://w3id.org/cco-gro/data#> .
@prefix prov:   <http://www.w3.org/ns/prov#> .
@prefix rdf:    <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs:   <http://www.w3.org/2000/01/rdf-schema#> .
@prefix owl:    <http://www.w3.org/2002/07/owl#> .
@prefix skos:   <http://www.w3.org/2004/02/skos/core#> .
@prefix xsd:    <http://www.w3.org/2001/XMLSchema#> .

gro-uk:Provider a owl:Class ;
    rdfs:subClassOf cco:Organisation ;
    rdfs:label ""Provider"" ;
    skos:definition ""An organisation that delivers apprenticeship training and may receive funding."" .

gro-uk:Funding a owl:Class ;
    rdfs:subClassOf cco:Resource ;
    rdfs:label ""Funding"" ;
    skos:definition ""Financial resources allocated to support apprenticeship delivery."" .

data:UK_UNIT_00266 a prov:Entity ;
    rdfs:label ""Source: UK-UNIT-00266"" .

data:UK_UNIT_00266_norm_69b209 a cco:Prohibition ;
    rdfs:label ""Funding Ineligibility Prohibition"" ;
    gro:hasSubject data:UK_UNIT_00266_subject_976bfa ;
    cco:hasAction data:UK_UNIT_00266_action_cf05f0 ;
    cco:hasObject data:UK_UNIT_00266_object_2337d9 ;
    cco:appliesUnder data:UK_UNIT_00266_condition_dfca6a ;
    prov:wasDerivedFrom data:UK_UNIT_00266 .

data:UK_UNIT_00266_subject_976bfa a gro-uk:Provider ;
    rdfs:label ""Provider"" ;
    skos:definition ""The provider who may be ineligible to receive funding."" ;
    prov:wasDerivedFrom data:UK_UNIT_00266 .

data:UK_UNIT_00266_action_cf05f0 a cco:Action ;
    rdfs:label ""Receive Funding"" ;
    cco:hasActionExpression ""will not be eligible to receive funding"" ;
    prov:wasDerivedFrom data:UK_UNIT_00266 .

data:UK_UNIT_00266_object_2337d9 a gro-uk:Funding ;
    rdfs:label ""Funding"" ;
    skos:definition ""Funding for the apprenticeship."" ;
    prov:wasDerivedFrom data:UK_UNIT_00266 .

data:UK_UNIT_00266_condition_dfca6a a cco:Condition ;
    rdfs:label ""Incomplete or Unsigned Agreement"" ;
    cco:hasConditionExpression ""If the apprenticeship agreement is incomplete, or not signed"" ;
    prov:wasDerivedFrom data:UK_UNIT_00266 .",Y,Y,Y,Y
020,UK-UNIT-00916,EligibilityRule,UK,"Where an apprentice is on a shorter apprenticeship (where the published typical duration of the apprenticeship standard is less than 12 months), or on a foundation apprenticeship, the payment will be delayed until the apprentice resumes their apprenticeship and has reached an overall total of 90 or 242 days in learning.","@prefix cco:    <https://www.w3id.org/cco/cco#> .
@prefix gro:    <https://w3id.org/cco-gro/onto#> .
@prefix gro-uk: <https://w3id.org/cco-gro/onto/uk#> .
@prefix data:   <https://w3id.org/cco-gro/data#> .
@prefix prov:   <http://www.w3.org/ns/prov#> .
@prefix rdf:    <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs:   <http://www.w3.org/2000/01/rdf-schema#> .
@prefix owl:    <http://www.w3.org/2002/07/owl#> .
@prefix skos:   <http://www.w3.org/2004/02/skos/core#> .
@prefix xsd:    <http://www.w3.org/2001/XMLSchema#> .

data:UK_UNIT_00916 a prov:Entity ;
    rdfs:label ""Source: UK-UNIT-00916"" .

gro-uk:FinancialResource a owl:Class ;
    rdfs:subClassOf cco:Resource ;
    rdfs:label ""Financial Resource"" ;
    skos:definition ""A resource representing monetary value or payment."" .

gro-uk:ApprenticeshipState a owl:Class ;
    rdfs:subClassOf cco:Condition ;
    rdfs:label ""Apprenticeship State"" ;
    skos:definition ""A condition representing the state of an apprenticeship, such as being on a shorter or foundation apprenticeship."" .

data:UK_UNIT_00916_norm_a81402 a cco:Obligation ;
    rdfs:label ""Delayed Payment Obligation"" ;
    cco:hasAction data:UK_UNIT_00916_action_51d4e6 ;
    cco:hasObject data:UK_UNIT_00916_subject_0c2706 ;
    cco:appliesUnder data:UK_UNIT_00916_condition_68452d ;
    prov:wasDerivedFrom data:UK_UNIT_00916 .

data:UK_UNIT_00916_subject_0c2706 a gro-uk:FinancialResource ;
    rdfs:label ""Payment"" ;
    skos:definition ""The payment that will be delayed under specified conditions."" ;
    skos:altLabel ""the payment"" ;
    prov:wasDerivedFrom data:UK_UNIT_00916 .

data:UK_UNIT_00916_action_51d4e6 a cco:Action ;
    rdfs:label ""Delay Payment"" ;
    cco:hasActionExpression ""the payment will be delayed"" ;
    prov:wasDerivedFrom data:UK_UNIT_00916 .

data:UK_UNIT_00916_condition_68452d a cco:Condition ;
    rdfs:label ""Shorter or Foundation Apprenticeship"" ;
    cco:hasConditionExpression ""Where an apprentice is on a shorter apprenticeship (where the published typical duration of the apprenticeship standard is less than 12 months), or on a foundation apprenticeship"" ;
    prov:wasDerivedFrom data:UK_UNIT_00916 .

data:UK_UNIT_00916_temporal_condition_3f8a2b a cco:Condition ;
    rdfs:label ""Resumption and Learning Days Threshold"" ;
    cco:hasConditionExpression ""until the apprentice resumes their apprenticeship and has reached an overall total of 90 or 242 days in learning"" ;
    prov:wasDerivedFrom data:UK_UNIT_00916 .

data:UK_UNIT_00916_norm_a81402 cco:appliesUnder data:UK_UNIT_00916_temporal_condition_3f8a2b .",P,P,Y,P
