Sample_ID,Category,Class_URI_Short,Full_URI,Label,Definition,Comment,CCO_Parent,Total_Descendants,Sample_Descendants_5,Q1_Name_Correct,Q2_Definition_Correct,Q3_Parent_Correct
11,Concept Cluster,CircumstanceConditionPattern,https://w3id.org/cco-gro/onto#CircumstanceConditionPattern,Circumstance Condition,A condition arising from specific circumstances that may affect eligibility or require adjustment in program requirements.,"The name 'CircumstanceCondition' captures the common element of 'circumstances' across all aligned classes while maintaining jurisdiction neutrality. It is a subclass of cco:Condition as required, and the label/definition avoid jurisdiction-specific terms while reflecting the universal concept of conditions tied to exceptional or changing situations.",cco:Condition,4,ChangeInCircumstances; ExceptionalCircumstance; MedicalCircumstances; SpecialCircumstances,Yes,Partial,Yes
12,Concept Cluster,ConfirmationAndComplianceObligation,https://w3id.org/cco-gro/onto#ConfirmationAndComplianceObligation,Confirmation and Compliance Obligation,"An obligation to confirm approvals, complete required declarations, and comply with post-approval or statutory requirements.",,cco:Obligation,0,(no per-jurisdiction descendants),Yes,Yes,Yes
13,Concept Cluster,CourseCompletionConditionPattern,https://w3id.org/cco-gro/onto#CourseCompletionConditionPattern,Course Completion Condition,"A condition that must be satisfied for the successful completion of an educational program or study period, encompassing both requirements to be met and verification of completion criteria.",The name 'CourseCompletionCondition' combines the universal concepts of 'course completion' (from gro-au:CourseRequirement) and 'condition' (from the CCO supertype). It avoids jurisdiction-specific terms while capturing the shared purpose of both classes as requirements for academic completion. The definition explicitly covers both requirement fulfillment and completion verification across jurisdictions.,cco:Condition,2,CourseRequirement; SuccessfulCompletion,Yes,Yes,Yes
14,Concept Cluster,DiscretionaryAuthorityPermission,https://w3id.org/cco-gro/onto#DiscretionaryAuthorityPermission,Discretionary Authority Permission,"A permission norm that grants entities the authority to exercise judgment in considering factors, making determinations, or taking actions within a regulatory framework.",,cco:Permission,0,(no per-jurisdiction descendants),Yes,Yes,Yes
15,Concept Cluster,EducationalLoanDebtPattern,https://w3id.org/cco-gro/onto#EducationalLoanDebtPattern,Educational Loan Debt,"A financial obligation arising from a loan specifically designated to fund educational pursuits, representing the amount owed by a borrower to a lending institution or government program.",The name 'EducationalLoanDebt' avoids jurisdiction-specific terms while clearly indicating the universal concept of debt from education-related loans. It satisfies the pattern by being a subclass of cco:Resource and ensuring all axioms apply universally across aligned jurisdictions.,cco:Resource,2,StudentLoanDebt; VETSLDebt,Yes,Partial,Yes
16,Concept Cluster,EducationalOrganizationPattern,https://w3id.org/cco-gro/onto#EducationalOrganizationPattern,Educational Organization,"An organization involved in providing educational programs, qualifications, or training, and may be responsible for administrative functions related to student enrollment, funding, or eligibility.","The name 'EducationalOrganization' is jurisdiction-neutral, CamelCase, and accurately reflects the universal role of entities in the cluster across education systems. It satisfies the CCO superclass constraint and avoids domain-specific properties not universally applicable.",cco:Organisation,6,AwardingBody; Institution; PostSecondaryInstitution; Provider; Province,Yes,Yes,Partial
17,Concept Cluster,EducationalPeriodPattern,https://w3id.org/cco-gro/onto#EducationalPeriodPattern,Educational Period,"A designated time period associated with an educational program, used for determining financial obligations or support.","The name 'EducationalPeriod' combines the core concepts of 'fee period' and 'study period' while remaining jurisdiction-neutral. It satisfies the pattern by being a subclass of cco:Resource, avoiding jurisdiction-specific terms, and capturing the universal concept of a time-bound educational financial framework.",cco:Resource,2,FeePeriod; StudyPeriod,Yes,Yes,Partial
18,Concept Cluster,EducationalProgramPattern,https://w3id.org/cco-gro/onto#EducationalProgramPattern,Educational Program,A structured course of study or training program offered by an educational provider.,Manually identified theme from decomposition of 120-member transitive cluster into 7 semantically coherent sub-themes after manual review.,cco:Resource,8,ApprenticeshipProgramme; BrokeredProgramOfStudy; Course; DeterminationCourse; DfEFundedCourse,Yes,Yes,Partial
19,Concept Cluster,EligibilityAndRequirementsObligation,https://w3id.org/cco-gro/onto#EligibilityAndRequirementsObligation,Eligibility and Requirements Obligation,"An obligation to meet, verify, or maintain eligibility criteria and regulatory or programmatic requirements.",,cco:Obligation,0,(no per-jurisdiction descendants),Yes,Yes,Yes
20,Concept Cluster,EligibilityAssessmentPattern,https://w3id.org/cco-gro/onto#EligibilityAssessmentPattern,Eligibility Assessment,"A structured evaluation process used to determine an individual's eligibility for a program, service, or funding based on predefined criteria.","The name 'EligibilityAssessment' is jurisdiction-neutral, reflecting the universal purpose of evaluating eligibility across all aligned classes. It avoids jurisdiction-specific terms while capturing the core function shared by Assessment, Formal Assessment, and Initial Assessment under the cco:Action hierarchy.",cco:Action,3,Assessment; FormalAssessment; InitialAssessment,Partial,Yes,Yes
21,Concept Cluster,EligibilityBasedFinancialAndEnrollmentPermission,https://w3id.org/cco-gro/onto#EligibilityBasedFinancialAndEnrollmentPermission,Eligibility-Based Financial and Enrollment Permission,"A permission that grants students access to financial assistance, enrollment benefits, or academic status changes based on demonstrated eligibility criteria.",,cco:Permission,0,(no per-jurisdiction descendants),Yes,Yes,Yes
22,Concept Cluster,EligibilityVerificationRolePattern,https://w3id.org/cco-gro/onto#EligibilityVerificationRolePattern,Eligibility Verification Role,A role responsible for verifying a student's eligibility or enrollment status to ensure compliance with institutional or program requirements.,The name 'EligibilityVerificationRole' avoids jurisdiction-specific terms while capturing the universal function of verifying student status across aligned jurisdictions. It maintains compatibility with the cco:Role supertype and ensures all axioms apply consistently to both subclasses.,cco:Role,2,EligibilitySigningOfficer; ReviewOfficerRole,Yes,Yes,Yes
23,Concept Cluster,EnrollmentActionPattern,https://w3id.org/cco-gro/onto#EnrollmentActionPattern,Enrollment Action,"An action that affects a student's enrollment status in an educational institution, including processes such as enrolling, withdrawing, or applying for leave.","The name 'EnrollmentAction' is jurisdiction-neutral, CamelCase, and captures the universal concept of actions impacting student enrollment status. It satisfies the pattern by avoiding jurisdiction-specific terms and ensuring all subclasses are functionally equivalent under the shared CCO supertype 'Action'.",cco:Action,4,Enrolment; FormalWithdrawalFromStudies; MedicalOrParentalLeaveApplication; StudentWithdrawal,Partial,Yes,Yes
24,Concept Cluster,EnrolmentActionPattern,https://w3id.org/cco-gro/onto#EnrolmentActionPattern,Enrolment Action,"An action involving the confirmation or reporting of a student's participation in an educational program, regardless of jurisdiction-specific implementation details.",The name 'EnrolmentAction' captures the common functional purpose of both aligned classes while avoiding jurisdiction-specific terminology. It maintains compatibility with the cco:Action supertype and satisfies the requirement that all axioms hold universally across jurisdictions.,cco:Action,2,EnrolmentConfirmation; UnitEnrolment,Yes,Yes,Yes
25,Concept Cluster,EvidenceManagementObligation,https://w3id.org/cco-gro/onto#EvidenceManagementObligation,Evidence Management Obligation,"An obligation to manage, retain, provide, document, or possess evidence in accordance with regulatory requirements.",,cco:Obligation,0,(no per-jurisdiction descendants),Yes,Yes,Yes
26,Concept Cluster,EvidentiaryDocumentPattern,https://w3id.org/cco-gro/onto#EvidentiaryDocumentPattern,Evidentiary Document,"A document, record, or information resource serving as evidence or documentation in regulatory or eligibility contexts.",Manually identified theme from decomposition of 120-member transitive cluster into 7 semantically coherent sub-themes after manual review.,cco:Resource,23,AcademicSuitabilityEvidence; DisabilityVerification; Document; Document; Document,Yes,Yes,Yes
27,Concept Cluster,ExcludedCostPattern,https://w3id.org/cco-gro/onto#ExcludedCostPattern,Excluded Cost,"A cost that is explicitly excluded from being claimed or included under a regulatory scheme due to lack of necessity, relevance, or explicit exclusion criteria.","The name 'ExcludedCost' is jurisdiction-neutral, captures the universal concept of costs barred from claims, and maintains the CCO hierarchy by subclassing cco:Resource. It avoids domain-specific terms while satisfying cross-jurisdictional applicability.",cco:Resource,2,IneligibleCost; UnnecessaryCost,Yes,Partial,Yes
28,Concept Cluster,FeeManagementObligation,https://w3id.org/cco-gro/onto#FeeManagementObligation,Fee Management Obligation,"An obligation to manage, disclose, structure, and apply fees in a transparent, reasonable, and systematic manner.",,cco:Obligation,0,(no per-jurisdiction descendants),Yes,Yes,Yes
29,Concept Cluster,FeePolicyDocumentPattern,https://w3id.org/cco-gro/onto#FeePolicyDocumentPattern,Fee Policy Document,"A formal document outlining the structure, calculation, and payment requirements for educational fees charged by an institution.",The name 'FeePolicyDocument' avoids jurisdiction-specific terms while capturing the core function of both aligned classes as structured documents governing fee-related obligations. It satisfies the pattern by being a subclass of cco:Resource and maintaining jurisdiction-neutral semantics across all aligned instances.,cco:Resource,2,FeeNotice; TuitionFeePolicy,Yes,Yes,Yes
30,Concept Cluster,FinancialAidAdministratorRolePattern,https://w3id.org/cco-gro/onto#FinancialAidAdministratorRolePattern,Financial Aid Administrator Role,"A role responsible for administering financial aid programs, including making eligibility determinations and ensuring compliance with relevant regulations.","The name 'FinancialAidAdministratorRole' combines the common functional domain ('FinancialAid') with the role type ('AdministratorRole'), avoiding jurisdiction-specific terms while maintaining alignment with the CCO:Role supertype. It satisfies the pattern by ensuring universal applicability across jurisdictions and adheres to the constraint of not introducing new root classes above CCO.",cco:Role,2,FinancialAidAdministrator; FinancialAidOfficerRole,Yes,Yes,Yes
31,Concept Cluster,FinancialAidResourcePattern,https://w3id.org/cco-gro/onto#FinancialAidResourcePattern,Financial Aid Resource,"A monetary or financial resource representing aid, funding, loans, grants, bursaries, or scholarships allocated to support students or educational programs.",Manually identified theme from decomposition of 120-member transitive cluster into 7 semantically coherent sub-themes after manual review.,cco:Resource,46,AccessibilitySupportsFunding; AdditionalPayment; AdultUpgradingGrant; AdvancedLearnerLoan; AviationProgramFunding,Yes,Yes,Yes
32,Concept Cluster,FinancialNeedAssessmentInputPattern,https://w3id.org/cco-gro/onto#FinancialNeedAssessmentInputPattern,Financial Need Assessment Input,"A financial resource or computed value used as input to assess a student's eligibility for financial aid, encompassing income, contributions, expected contributions, and family financial circumstances.",Manually named — large transitive cluster (13 members) identified as semantically coherent shared concept after manual review.,cco:Resource,13,ContributionFromAssets; ExpectedContribution; FamilyIncome; FamilySize; IncomeAllowanceCalculation,Yes,Yes,Yes
33,Concept Cluster,FunctionalImpairmentPattern,https://w3id.org/cco-gro/onto#FunctionalImpairmentPattern,Functional Impairment,"A condition involving physical, mental, intellectual, cognitive, or sensory limitations that substantially affects an individual's ability to perform everyday activities or engage in learning processes.",The term 'FunctionalImpairment' captures the common essence of both aligned classes while avoiding jurisdiction-specific terminology. It satisfies the pattern requirements by maintaining compatibility with the cco:Role supertype and ensuring all axioms apply universally across jurisdictions.,cco:Role,2,LearningDifficultyOrDisability; PersistentOrProlongedDisability,Yes,Yes,No
34,Concept Cluster,FundingAccessAndAllocationPermission,https://w3id.org/cco-gro/onto#FundingAccessAndAllocationPermission,Funding Access and Allocation Permission,"A permission that authorizes access to, allocation of, or claims against funding resources for educational, assistive, or support purposes.",,cco:Permission,0,(no per-jurisdiction descendants),Yes,Yes,Yes
35,Concept Cluster,FundingApplicationPattern,https://w3id.org/cco-gro/onto#FundingApplicationPattern,Funding Application,"A formal application or submission for student financial assistance, loan rehabilitation, or other funding programs.",Manually identified theme from decomposition of 120-member transitive cluster into 7 semantically coherent sub-themes after manual review.,cco:Resource,8,Application; Application; ApplicationAndSupportingEvidence; FAFSAApplication; FundingAndLoanRehabilitationApplication,Yes,Yes,Yes
36,Concept Cluster,FundingEligibilityAndDisbursementObligation,https://w3id.org/cco-gro/onto#FundingEligibilityAndDisbursementObligation,Funding Eligibility and Disbursement Obligation,"An obligation to assess, confirm, and manage eligibility for funding, followed by the proper disbursement or claiming of funds, including direct retention or payment to providers and subcontractors.",,cco:Obligation,0,(no per-jurisdiction descendants),Yes,Yes,Yes
37,Concept Cluster,GovernmentOrganizationPattern,https://w3id.org/cco-gro/onto#GovernmentOrganizationPattern,Government Organization,"An organization that is part of the government structure, such as a department, agency, or regulatory authority.","The name 'GovernmentOrganization' is jurisdiction-neutral, avoids specific program references, and aligns with the confirmed CCO supertype 'Organisation'. It universally captures the shared concept of governmental entities across jurisdictions while adhering to the pattern's constraints.",cco:Organisation,7,Department; GovernmentBody; GovernmentBody; GovernmentBody; GovernmentDepartment,Yes,Yes,Yes
38,Concept Cluster,InformationDisclosureObligation,https://w3id.org/cco-gro/onto#InformationDisclosureObligation,Information Disclosure Obligation,An obligation to provide specified educational information to students or stakeholders before or during enrolment and throughout the course lifecycle.,,cco:Obligation,0,(no per-jurisdiction descendants),Yes,Yes,Yes
39,Concept Cluster,JurisdictionalRegulatorPattern,https://w3id.org/cco-gro/onto#JurisdictionalRegulatorPattern,Jurisdictional Regulator,"An agent representing a regulatory authority at the jurisdiction level, responsible for overseeing compliance with regulatory frameworks.",Manually named due to persistent LLM empty responses across multiple retries.,cco:RegulatoryAuthorityAgent,3,RegulatoryAuthorityAgent; RegulatoryAuthorityAgent; RegulatoryAuthorityAgent,Yes,Yes,Yes
40,Concept Cluster,LearnerInformationRecordPattern,https://w3id.org/cco-gro/onto#LearnerInformationRecordPattern,Learner Information Record,"A data record containing learner-specific information used by educational institutions for administrative, assessment, or protection-related purposes.",The name 'LearnerInformationRecord' avoids jurisdiction-specific terms while capturing the core purpose of storing structured learner data across contexts. It satisfies the pattern by aligning with the cco:Resource hierarchy and ensuring all axioms apply universally to the cluster members' shared functionality.,cco:Resource,3,ISIR; IndividualisedLearnerRecord; LearnerProtectionInformation,Yes,Yes,Yes
41,Concept Cluster,LearningPausePattern,https://w3id.org/cco-gro/onto#LearningPausePattern,Learning Pause,"A period during which an individual's learning or study activities are formally paused, typically subject to specific duration limits and exceptions.","The name 'LearningPause' is jurisdiction-neutral, combining the universal concepts of 'learning' and 'pause' present in both aligned classes. It avoids jurisdiction-specific terms while accurately reflecting the shared functional equivalence of temporary interruptions in educational engagement across systems.",cco:Resource,2,Break; BreakInLearning,Yes,Yes,Yes
42,Concept Cluster,LoanAdjustmentResourcePattern,https://w3id.org/cco-gro/onto#LoanAdjustmentResourcePattern,Loan Adjustment Resource,"A resource representing an adjustment to a loan amount based on eligibility reassessment or changes in funding parameters, converted from grant excess or increased caps.","The name 'LoanAdjustmentResource' is CamelCase, jurisdiction-neutral, and reflects the universal concept of loan amount modifications across aligned classes. It satisfies CCO hierarchy constraints by subclassing cco:Resource and avoids domain/range violations by focusing on shared adjustment mechanics rather than jurisdiction-specific programs.",cco:Resource,2,BCAGExcessLoan; IncreasedLoanCap,Yes,Yes,Yes
43,Concept Cluster,LoanAndEnrolmentMisconductProhibition,https://w3id.org/cco-gro/onto#LoanAndEnrolmentMisconductProhibition,Prohibition of Misconduct in Loan and Enrolment Practices,"A prohibition on actions involving improper financial demands, loan misrepresentation, unauthorized payment or borrowing, and misleading suggestions related to enrolment or assistance eligibility.",,cco:Prohibition,0,(no per-jurisdiction descendants),Yes,Partial,Yes
44,Concept Cluster,NoticeAndProcedureObligation,https://w3id.org/cco-gro/onto#NoticeAndProcedureObligation,Notice and Procedure Obligation,An obligation to provide formal notices and maintain established procedures in regulatory or administrative processes.,,cco:Obligation,0,(no per-jurisdiction descendants),Yes,Yes,Yes
45,Concept Cluster,OrganizationalExecutiveRolePattern,https://w3id.org/cco-gro/onto#OrganizationalExecutiveRolePattern,Organizational Executive Role,"A role held by an individual who is responsible for the overall governance or executive management of an organization, as defined by applicable legal or regulatory frameworks.","The name 'OrganizationalExecutiveRole' combines jurisdiction-neutral terms ('Organizational' and 'Executive') to reflect the universal concept of a high-level role responsible for organizational governance or management. It satisfies the pattern's constraints by avoiding jurisdiction-specific vocabulary, maintaining subclassing under cco:Role, and ensuring axioms on the shared class apply universally across aligned jurisdictions.",cco:Role,2,ExecutiveOfficer; GovernanceLeadRole,Yes,Yes,Yes
46,Concept Cluster,PaymentObligation,https://w3id.org/cco-gro/onto#PaymentObligation,Payment Obligation,"An obligation to make, manage, or arrange payments or repayments under specified conditions.",,cco:Obligation,0,(no per-jurisdiction descendants),Yes,Yes,Yes
47,Concept Cluster,PostCredentialTrainingPattern,https://w3id.org/cco-gro/onto#PostCredentialTrainingPattern,Post-Credential Training,"Training required after obtaining a formal credential to meet the accreditation or licensing requirements of a regulated profession, including repeated training, apprenticeship learning, or structured post-credential development periods.","The name 'PostCredentialTraining' combines the concept of training occurring after initial credentialing (from gro-ca:PostCredentialTrainingPeriod) with the general training purpose (from gro-uk:RepeatedTraining and gro-uk:Learning). It avoids jurisdiction-specific terms, maintains compatibility with the cco:Resource hierarchy, and satisfies universal applicability across all aligned classes.",cco:Resource,3,Learning; PostCredentialTrainingPeriod; RepeatedTraining,Yes,Yes,Yes
48,Concept Cluster,ProviderComplianceObligation,https://w3id.org/cco-gro/onto#ProviderComplianceObligation,Provider Compliance Obligation,"Obligations requiring entities to meet eligibility, maintain status, comply with regulations, and uphold transparency and procedural standards as approved providers.",,cco:Obligation,0,(no per-jurisdiction descendants),Yes,Partial,Yes
49,Concept Cluster,RecreditAndReborrowPermission,https://w3id.org/cco-gro/onto#RecreditAndReborrowPermission,Recredit and Re-borrow Permission,Permission to recredit a HELP balance or re-borrow repaid amounts under specified conditions.,,cco:Permission,0,(no per-jurisdiction descendants),Yes,Yes,Yes
50,Concept Cluster,RegulatoryAgreementPattern,https://w3id.org/cco-gro/onto#RegulatoryAgreementPattern,Regulatory Agreement,"A contractual or formal agreement between regulated parties such as providers, employers, or institutions.",Manually identified theme from decomposition of 120-member transitive cluster into 7 semantically coherent sub-themes after manual review.,cco:Resource,3,Contract; EmployerAgreement; EmploymentContract,Yes,Yes,Yes
51,Concept Cluster,RegulatoryComplianceObligation,https://w3id.org/cco-gro/onto#RegulatoryComplianceObligation,Regulatory Compliance Obligation,"An obligation to adhere to specified legal, regulatory, or standard-based requirements, including ongoing adherence, information management, and rule referencing.",,cco:Obligation,0,(no per-jurisdiction descendants),Yes,Yes,Yes
52,Concept Cluster,RegulatoryDecisionPattern,https://w3id.org/cco-gro/onto#RegulatoryDecisionPattern,Regulatory Decision,"A formal determination, approval, assessment, or decision issued by a regulatory authority or process.",Manually identified theme from decomposition of 120-member transitive cluster into 7 semantically coherent sub-themes after manual review.,cco:Resource,15,AppealDecision; ApprenticeCertificate; Approval; Approval; Assessment,Yes,Yes,Yes
53,Concept Cluster,RegulatoryOfficialPattern,https://w3id.org/cco-gro/onto#RegulatoryOfficialPattern,Regulatory Official,"A role held by an individual or organisation exercising regulatory authority, encompassing regulators, secretaries, and other officials with oversight responsibilities.",Manually named due to persistent LLM empty responses across multiple retries.,cco:RegulatoryAuthorityRole,4,Regulator; RegulatoryAuthority; RegulatoryAuthorityRole; Secretary,Yes,Yes,Yes
54,Concept Cluster,RepaymentActionPattern,https://w3id.org/cco-gro/onto#RepaymentActionPattern,Repayment Action,"An action involving the return of funds that were overpaid, borrowed, or received in error, encompassing scenarios such as loan repayments, overpayment corrections, and reimbursement requests.","The name 'RepaymentAction' is jurisdiction-neutral, capturing the universal concept of returning funds across all aligned classes. It satisfies the pattern's criteria by avoiding jurisdiction-specific terms, maintaining compatibility with the cco:Action supertype, and ensuring all axioms apply universally to repayment scenarios regardless of context.",cco:Action,3,LoanAmountRepayment; ReimbursementApplication; RepayOverPayment,Yes,Yes,Yes
55,Concept Cluster,SignedDeclarationPattern,https://w3id.org/cco-gro/onto#SignedDeclarationPattern,Signed Declaration,A signed document or statement attesting to facts or confirming information for regulatory purposes.,Manually identified theme from decomposition of 120-member transitive cluster into 7 semantically coherent sub-themes after manual review.,cco:Resource,4,EmployerCompetencyStatement; SelfDeclaration; SignedDeclaration; SignedStatement,Partial,Partial,Yes
56,Concept Cluster,StudentAcademicAndFinancialComplianceObligation,https://w3id.org/cco-gro/onto#StudentAcademicAndFinancialComplianceObligation,Student Academic and Financial Compliance Obligation,"An obligation requiring students to meet academic progress, enrollment, and financial responsibilities to maintain eligibility and compliance with educational funding and institutional requirements.",,cco:Obligation,0,(no per-jurisdiction descendants),Yes,Yes,Yes
57,Concept Cluster,StudentAidModificationConditionPattern,https://w3id.org/cco-gro/onto#StudentAidModificationConditionPattern,Student Aid Modification Condition,A condition that triggers a change in a student's financial aid status due to enrollment adjustments or administrative review processes.,The name 'StudentAidModificationCondition' avoids jurisdiction-specific terms while capturing the universal concept of a condition affecting financial aid. It satisfies the pattern by maintaining compatibility with the cco:Condition supertype and ensuring all axioms apply universally to both withdrawal/deferral and appeal scenarios.,cco:Condition,2,AppealProcess; StudentWithdrawalOrDeferral,Yes,Yes,Yes
58,Concept Cluster,StudentEnrollmentPattern,https://w3id.org/cco-gro/onto#StudentEnrollmentPattern,Student Enrollment,"The formal registration of a student in one or more academic courses or programs during a specified period, representing their participation status and course commitments.","The name 'StudentEnrollment' is jurisdiction-neutral, combining the core concepts of 'Course Load' and 'Student Enrolment' while avoiding region-specific terminology. It maintains compatibility with the cco:Resource supertype and ensures all axioms apply universally across aligned jurisdictions.",cco:Resource,2,CourseLoad; StudentEnrolment,Yes,Yes,Yes
59,Concept Cluster,StudentGrievanceMechanismPattern,https://w3id.org/cco-gro/onto#StudentGrievanceMechanismPattern,Student Grievance Mechanism,A formal process or form used by students to initiate or resolve complaints or appeals regarding academic or administrative matters within an educational institution.,The name 'StudentGrievanceMechanism' combines the universal concept of student-initiated dispute resolution ('Grievance') with the neutral term 'Mechanism' to encompass both procedural and form-based implementations. It avoids jurisdiction-specific terms while maintaining alignment with the CCO:Resource hierarchy and satisfying cross-jurisdictional axiom constraints.,cco:Resource,2,AppealRequestForm; GrievanceProcedure,Yes,Partial,Yes
60,Concept Cluster,StudentProceduralResourcePattern,https://w3id.org/cco-gro/onto#StudentProceduralResourcePattern,Student Procedural Resource,"A resource representing processes, procedures, or information required for student compliance with enrollment, verification, or documentation requirements across educational contexts.","The name 'StudentProceduralResource' combines the universal scope ('Student'), the functional purpose ('Procedural'), and the CCO hierarchy ('Resource'). It avoids jurisdiction-specific terms while capturing the common theme of structured processes or information required of students, satisfying all pattern constraints and review criteria.",cco:Resource,3,EnrolmentInformation; StudentDocumentaryEvidenceProcess; VerificationInformation,Yes,Yes,Yes
61,Concept Cluster,StudentRolePattern,https://w3id.org/cco-gro/onto#StudentRolePattern,Student Role,"A role held by an individual enrolled in or applying for an educational program, encompassing variations in dependency status, enrollment status, and program-specific eligibility across jurisdictions.",Manually named — large transitive cluster (41 members) identified as semantically coherent shared concept after manual review.,cco:Role,41,APSDStudentRole; ApprenticeshipStudentRole; Borrower; DefinedTerm; DependentStudent,Yes,Yes,Yes
62,Concept Cluster,StudentWithdrawalManagementPattern,https://w3id.org/cco-gro/onto#StudentWithdrawalManagementPattern,Student Withdrawal Management,"A framework or set of procedures established by educational institutions to manage student withdrawals, including processes for deferral and refund policies.","The name 'StudentWithdrawalManagement' is jurisdiction-neutral, combining the core concepts of withdrawal processes (gro-au) and refund policies (gro-ca). It satisfies the pattern by avoiding jurisdiction-specific terms, maintaining compatibility with the cco:Resource supertype, and ensuring all axioms apply universally to both aligned classes.",cco:Resource,2,RefundPolicy; WithdrawalDeferralProcess,Yes,Yes,Yes
